id,o,d,ta,ca,lane_level,road_type
319,80233753,80233633,6.6,2000,1,residential
320,80233753,80233741,21.8,2000,1,residential
321,80233753,80233760,5.9,2000,1,residential
322,80233760,2459107191,3.4,2000,1,residential
323,80233760,80302826,23.7,2000,1,residential
324,80233760,80233753,5.9,2000,1,residential
325,80234551,669249902,8.9,2000,1,tertiary
326,80234551,669249902,8.9,2000,2,tertiary
327,80234551,80232220,8.0,2000,1,tertiary
328,80234551,80232220,8.0,2000,2,tertiary
329,80234551,80232289,30.9,2000,1,residential
330,80234612,80237513,12.9,2000,1,tertiary
331,80234612,80237513,12.9,2000,2,tertiary
332,80234612,669249902,3.0,2000,1,tertiary
333,80234612,669249902,3.0,2000,2,tertiary
334,80234612,1562707009,15.8,2000,1,residential
335,80234646,5082761294,7.0,2000,1,residential
336,80234660,9318322963,0.7,2000,1,residential
337,80234660,5082761294,9.9,2000,1,residential
338,80234660,80289326,16.9,2000,1,secondary
339,80234662,9318322963,5.2,2000,1,residential
340,80234662,80270539,10.0,2000,1,residential
341,80234662,80234683,20.3,2000,1,residential
342,80234683,80234685,3.7,2000,1,residential
343,80234683,80270539,29.6,2000,1,residential
344,80234683,80234662,20.3,2000,1,residential
345,80234685,80234683,3.7,2000,1,residential
346,80234692,9318322962,0.7,2000,1,residential
347,80234692,80234660,7.6,2000,1,secondary
348,80234694,9318322962,4.9,2000,1,residential
349,80234694,80234703,8.8,2000,1,residential
350,80234694,80234751,15.0,2000,1,residential
351,80234703,80234721,24.0,2000,1,residential
352,80234703,80234721,24.2,2000,1,residential
353,80234703,80234694,8.8,2000,1,residential
354,80234721,80234703,24.0,2000,1,residential
355,80234721,80234703,24.2,2000,1,residential
356,80234721,80234751,32.6,2000,1,residential
357,80234751,9019322861,31.0,2000,1,residential
358,80234751,80234694,15.0,2000,1,residential
359,80234751,80234721,32.6,2000,1,residential
360,80235180,1562707122,19.3,2000,1,residential
361,80235180,1562707117,12.8,2000,1,residential
362,80235180,1562707009,38.8,2000,1,residential
363,80235207,80235208,3.9,2000,1,residential
364,80235207,80236973,4.3,2000,1,residential
365,80235207,80236963,10.6,2000,1,residential
366,80235208,80235207,3.9,2000,1,residential
367,80235209,80235212,11.1,2000,1,residential
368,80235209,80233196,4.8,2000,1,residential
369,80235209,80235226,5.4,2000,1,residential
370,80235212,80235209,11.1,2000,1,residential
371,80235212,80230897,6.2,2000,1,residential
372,80235212,80235226,19.7,2000,1,residential
373,80235218,80235226,8.0,2000,1,residential
374,80235226,80235212,19.7,2000,1,residential
375,80235226,80235218,8.0,2000,1,residential
376,80235226,80235209,5.4,2000,1,residential
377,80235416,80232222,5.7,2000,1,residential
378,80236959,80236963,8.0,2000,1,residential
379,80236959,80232723,10.0,2000,1,residential
380,80236959,1351702203,12.8,2000,1,residential
381,80236963,80236959,8.0,2000,1,residential
382,80236963,80235207,10.6,2000,1,residential
383,80236963,80236978,30.0,2000,1,residential
384,80236973,80236978,8.4,2000,1,residential
385,80236973,80235207,4.3,2000,1,residential
386,80236973,80254993,10.6,2000,1,residential
387,80236978,80236973,8.4,2000,1,residential
388,80236978,1351702179,8.6,2000,1,residential
389,80236978,80236963,30.0,2000,1,residential
390,80237041,80237139,8.8,2000,1,residential
391,80237041,80237051,14.2,2000,1,residential
392,80237041,80237120,25.6,2000,1,residential
393,80237051,80233222,9.3,2000,1,residential
394,80237051,80237120,8.9,2000,1,residential
395,80237051,80237041,14.2,2000,1,residential
396,80237051,80237139,18.2,2000,1,residential
397,80237116,80237118,8.5,2000,1,residential
398,80237116,80273127,27.2,2000,1,residential
399,80237116,2030988879,6.9,2000,1,residential
400,80237118,80230884,9.6,2000,1,residential
401,80237118,80237116,8.5,2000,1,residential
402,80237118,80273127,32.2,2000,1,residential
403,80237120,80237051,8.9,2000,1,residential
404,80237120,80230884,8.4,2000,1,residential
405,80237120,80237041,25.6,2000,1,residential
406,80237139,80237041,8.8,2000,1,residential
407,80237139,80237143,8.2,2000,1,residential
408,80237139,1902941973,18.9,2000,1,residential
409,80237139,80237051,18.2,2000,1,residential
410,80237143,80237139,8.2,2000,1,residential
411,80237143,80241342,16.1,2000,1,residential
412,80237143,80241323,25.8,2000,1,residential
413,80237504,80276980,4.2,2000,1,tertiary
414,80237504,80276980,4.2,2000,2,tertiary
415,80237504,80237506,6.1,2000,1,tertiary
416,80237504,80237506,6.1,2000,2,tertiary
417,80237504,80245745,8.2,2000,1,secondary
418,80237504,80245745,8.2,2000,2,secondary
419,80237504,1562707043,9.8,2000,1,secondary
420,80237506,80232255,7.2,2000,1,tertiary
421,80237506,80232255,7.2,2000,2,tertiary
422,80237506,80237504,6.1,2000,1,tertiary
423,80237506,80237504,6.1,2000,2,tertiary
424,80237506,80270443,12.8,2000,1,residential
